kernel,in_ch,out_ch,stride,pad,height,width,tc1,tc2,time_ms
3,64,64,1,1,30,40,1,32,0.0159027
3,64,64,1,1,30,40,1,64,0.008192
3,64,64,1,1,30,40,1,128,0.008448
3,64,64,1,1,30,40,2,1,0.227072
3,64,64,1,1,30,40,2,2,0.115968
3,64,64,1,1,30,40,2,4,0.059543
3,64,64,1,1,30,40,2,8,0.0306074
3,64,64,1,1,30,40,2,16,0.0160154
3,64,64,1,1,30,40,2,32,0.00804864
3,64,64,1,1,30,40,2,64,0.00801984
3,64,64,1,1,30,40,2,128,0.008192
3,64,64,1,1,30,40,4,1,0.115876
3,64,64,1,1,30,40,4,2,0.0592426
3,64,64,1,1,30,40,4,4,0.0305926
3,64,64,1,1,30,40,4,8,0.0160358
3,64,64,1,1,30,40,4,16,0.00808128
3,64,64,1,1,30,40,4,32,0.00792576
3,64,64,1,1,30,40,4,64,0.00797696
3,64,64,1,1,30,40,4,128,0.00872512
3,64,64,1,1,30,40,8,1,0.057385
3,64,64,1,1,30,40,8,2,0.0292659
3,64,64,1,1,30,40,8,4,0.0152576
3,64,64,1,1,30,40,8,8,0.00928768
3,64,64,1,1,30,40,8,16,0.00899072
3,64,64,1,1,30,40,8,32,0.00885536
3,64,64,1,1,30,40,8,64,0.00903136
3,64,64,1,1,30,40,8,128,0.013783
3,64,64,1,1,30,40,16,1,0.042025
3,64,64,1,1,30,40,16,2,0.021463
3,64,64,1,1,30,40,16,4,0.0198797
3,64,64,1,1,30,40,16,8,0.0168448
3,64,64,1,1,30,40,16,16,0.0129984
3,64,64,1,1,30,40,16,32,0.00990208
3,64,64,1,1,30,40,16,64,0.0175718
3,64,64,1,1,30,40,32,1,0.0424141
3,64,64,1,1,30,40,32,2,0.0439296
3,64,64,1,1,30,40,32,4,0.0421581
3,64,64,1,1,30,40,32,8,0.0492134
3,64,64,1,1,30,40,32,16,0.0438355
3,64,64,1,1,30,40,32,32,0.0429875
